sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
"Say, a Tuscan hillside in June?",0.8021948875144845,,,june,cornellmov.6.016463,cornellmov.0094423
Ethan pursed his surprisingly sensual lips..,0.7795706969353553,,,lips,torontomyst.6.161857,torontomyst.2089206
My children devoured these Mozzarella Sticks!,0.7869687192359326,,,mozzarella,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03762702
"Todd Benjamin, CNN Business News, Tokyo.",0.7987696608422284,,,tokyo,cocaspok1991.6.003841,cocaspok1991.0056984
"Tue., June 18, 2013, 11:48 p.m.",0.868541659200977,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00483268
Veni and Son are countryside caterers.,0.8033841709439015,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03825831
"NOTD: Collection 2000 Hot Looks ""Diva""",0.824473907906408,,,diva,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02101957
Everything has maple sugar in it.,0.7846707821532927,,,maple,cocaspok2011.6.006691,cocaspok2011.0085323
A sojourner like all my fathers.,0.7827296461695781,,,sojourner,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02094419
Public relations experts in San Diego.,0.7838501328855684,,,diego,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04192524
"Alissa Weiss comes from Philadelphia, Pennsylvania.",0.8269899361251777,,,"philadelphia,pennsylvania",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02609025
Natural Artisan Soap Handcrafted in Tennessee.,0.807556807903548,,,tennessee,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04207904
He's the real son of God.,0.7818755587067115,real,,son,cocaspok2005.6.007477,cocaspok2005.0114121
"Aw, it's gotta be a typo.",0.7885981207625864,,,aw,cornellmov.6.014830,cornellmov.0084527
"Scott cried, pursing his pink lips.",0.7914779846645553,,,lips,torontomyst.6.081838,torontomyst.1106822
Little cute shoes adorned her feet.,0.7818492742430556,,,cute,torontofantasy.6.112027,torontofantasy.1607649
"June 24, 2013.Reading time 5 minutes.",0.8042604788186163,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03014090
"It was Wednesday, September 16th, 2015.",0.8176686638851165,,,september,torontofantasy.6.061942,torontofantasy.909088
Steven looked dapper in Tom Ford.,0.8001011196064325,,,ford,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02267896
"For NPR News, I'm Nancy Solomon.",0.7938088103628553,,,solomon,cocaspok2004.6.000493,cocaspok2004.0006614
"All right, Angela Poe in Mobile.",0.7949825338391513,,,poe,cocaspok1998.6.002381,cocaspok1998.0034348
"Handbook of Texas Online, Ben E.",0.8165128205062611,,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00174196
"Dear God, at what a price.",0.7800193398716809,,,dear,brown.6.001242,brown.024844
"Translator, writer, blogger, and French prof.",0.7983614236721515,,,prof,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04348233
Accredited Nursing School Located in Ohio.,0.7987791866526336,,,ohio,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01028832
"For CNN Sports, I'm Matt Morrison.",0.7886015985906298,,,matt,cocaspok2003.6.002756,cocaspok2003.0047895
Will hold about 400 lbs grapes.,0.7806365222619673,hold,,grapes,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02449841
"Yes, the Fray Diego de Landa.",0.8274735404939711,,,diego,torontofantasy.6.282728,torontofantasy.3682533
The Duchess of Kent visits Italy.,0.7807110895034505,,,italy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02906181
Ford sales fell by 14 percent.,0.7934612327233221,,,ford,cocaspok1991.6.003774,cocaspok1991.0055341
He's the guy with the cowbell.,0.78750971462927,,,guy,cocaspok2006.6.005836,cocaspok2006.0092963
Flights to Cairo and Kiev... canceled.,0.7895433361821192,,,cairo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04280161
"Olivetti pursed his lips, looking dour.",0.79203301870293,,,lips,torontomyst.6.066081,torontomyst.916157
Fay Rogers' son is mildly retarded.,0.7936695230103529,,,son,cocaspok1990.6.003896,cocaspok1990.0057731
Seth didn't even bother chasing Derek.,0.7857589470831629,,,seth,torontofantasy.6.320999,torontofantasy.4211939
"Tested and verified June 18, 2018.",0.8262596124438794,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03348671
But it's still clingy and sexy.,0.7862687358503379,still,clingy,sexy,cocaspok2000.6.005541,cocaspok2000.0092432
Does Germany Need a Plan B?,0.7797876141725607,,,germany,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01325225
"Ann Kellan, CNN, Las Vegas, Nevada.",0.8455146644820855,,,nevada,cocaspok2000.6.002314,cocaspok2000.0039721
Antimatter is yin to matter's yang.,0.8004931093027079,,,yin,torontomyst.6.065658,torontomyst.911700
I looked at my sleeping son.,0.781549887740223,,,son,torontomyst.6.121863,torontomyst.1604573
"York: John Wiley and Son, Inc.",0.818495840626947,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03564070
And we bombed Sudan and Afghanistan.,0.7852739618427499,,,afghanistan,cocaspok2001.6.002070,cocaspok2001.0037520
Now let's talk about Donkey Kong.,0.8013580810120141,,,kong,cocaspok2007.6.009623,cocaspok2007.0122500
"B3/B. Infusion pumps, San Diego. | | Wednesday |",0.801892043754512,,,diego,wsj.6.001926,wsj.347783
He won the Thanksgiving Vincent T.,0.7854588602473016,,,thanksgiving,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02846613
This pineapple salsa is so good!,0.7906645509138491,,,pineapple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03101272
Your baby is so cute too!!,0.7823965350828681,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02351923
Captain Chas Turner pursed his lips.,0.7991422149871724,,,lips,torontomyst.6.109808,torontomyst.1452841
"Customer Service. on September 7, 2016.",0.7961186449978827,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04460022
And he'll turn 70 in September.,0.801143026454033,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01207716
"You liked that Memphis Minnie, huh?",0.8071683612599118,,,minnie,cornellmov.6.018682,cornellmov.0108766
He's up in Washington from Atlanta.,0.8113478574108665,,,atlanta,cocaspok1991.6.002412,cocaspok1991.0039184
Are Cash Rebates Legal in Nevada?,0.7947081499920129,,,nevada,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00964339
With me and Texas Mike O'Shay.,0.7804647759515162,,,texas,cornellmov.6.030654,cornellmov.0185743
I can't fucking believe this guy.,0.789229930494581,,,guy,cornellmov.6.017209,cornellmov.0099111
"Jason Carroll in Lancaster County, Pennsylvania.",0.8164250855938193,,,pennsylvania,cocaspok2006.6.006786,cocaspok2006.0106754
Illinois Cru: 2018 Bermuda Classic Champions!,0.8407087679605262,,bermuda,illinois,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00619687
It's animal cruelty frying a unicorn.,0.7949315470399915,,,unicorn,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03089611
But Superman isn't an average man.,0.788026568775958,,,"superman,an",cornellmov.6.013926,cornellmov.0079195
"But I'm a patriot, my dear.",0.7850302256761689,,,dear,torontofantasy.6.354241,torontofantasy.4652768
I didn't write the Elvis verse.,0.7928596857201465,,,elvis,cocaspok1999.6.010374,cocaspok1999.0135606
Say goodbye to off white icing!,0.7851529466761629,,,goodbye,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04376733
"Dear daughter in law, happy birthday!",0.8069607935430175,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00478761
And that petite lasagna looks amazing!,0.7925930695760443,amazing,,lasagna,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01761015
"This is the guy, Gary Giordano.",0.785271650875938,,gary,guy,cocaspok2011.6.007261,cocaspok2011.0092238
Did the swine flu ground Jacko?,0.8084776779656213,,,flu,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00001733
Do Texas Sheet Cakes Have Nuts?,0.8058122501776737,,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00977578
True analog bypass or DSP bypass.,0.7838566342841199,,,true,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00379961
"Oh my son, my poor son!",0.8068924818829122,,poor,"son,son",cornellmov.6.000324,cornellmov.0002012
"Apparently, Homer didn't mean the deputy.",0.7913656136769524,,,homer,torontomyst.6.040045,torontomyst.571852
"Aw, c'mon, it's just a bug.",0.8012987195007916,,,aw,cornellmov.6.013617,cornellmov.0077295
Cute card!! Love the fun fold!,0.7834742278402818,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04507365
Rent a Bentley in Courmayeur Italy.,0.8122395451751062,,,italy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00338710
Penny and Keith had no romance.,0.7809038223783302,,,penny,brown.6.000146,brown.001880
"Please RSVP by Monday, October 29th.",0.8118982820220838,,,rsvp,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00566825
"Didn't you see""American Werewolf in London?""",0.8075082218254025,,,london,cornellmov.6.029588,cornellmov.0179110
"Oh, God, I love you, son.",0.791229199425216,,,son,cornellmov.6.024861,cornellmov.0148812
"Larry Kelley of Yale., wise guy.",0.7813711714254733,,,guy,cocaspok1996.6.005243,cocaspok1996.0065836
Free amp; Legal Texas Holdem Tournaments.,0.8019451580436483,free,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02094196
Fangs cut through Derek's disfigured lips.,0.7917010992950365,,,lips,torontofantasy.6.340241,torontofantasy.4483420
Decorate with pineapple pieces and cherries.,0.7806307832441085,,,pineapple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04587895
"Surviving is one son, Charles H.",0.7800521412891267,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02936231
The King's stinking son fired me.,0.7811474626662633,,,son,cornellmov.6.035805,cornellmov.0218417
Wanda Barzee and Brian David Mitchell.,0.8034503439552,,,brian,cocaspok2010.6.011978,cocaspok2010.0155005
"WITH EXTRA fried egg, double sinful!",0.7935202034452197,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00592011
"Bandits, rustlers, Texas rednecks, Kiowa, Comanche.",0.8299565635240563,,,texas,cornellmov.6.033618,cornellmov.0204773
"Up first, the Daredevil recap page!",0.780332927287254,,,daredevil,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00066413
"SHADES OF GRAY: Noir, City Shrouded.",0.782264875630438,,,noir,torontoadv.6.020717,torontoadv.370106
"In Washington, Brian Wilson, Fox News.",0.81194792349122,,wilson,brian,cocaspok2005.6.001242,cocaspok2005.0023212
"Nice guy, for an enamel surgeon.",0.7848935398399299,,,"guy,an",cornellmov.6.003607,cornellmov.0020151
Made at the London Jewellery Quarter.,0.7886151628455368,,,"london,jewellery",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00886315
University Park: Pennsylvania State University Press.,0.7954581404936208,,"university,university",pennsylvania,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04404433
The Yellowstone Caldera is acting weird.,0.7838143141404496,,,yellowstone,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01488230
"June 14, 2014 in Photos, Safari.",0.8487650993364078,,photos,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02530373
But would Scarecrow really beat Wolverine?,0.7854225833191469,,,wolverine,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03286638
I love Lush's cute Easter stuff!,0.8063094706687013,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02276483
Cambodian Service is Sunday at 11:00am.,0.7848037720965395,,,cambodian,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04971657
Recently invaded Germany and besieged Hamburg.,0.7930659394597898,,,germany,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03279106
"East Bangor, Pennsylvania Good evening, gentlemen.",0.7895615370147123,,,pennsylvania,cocaspok1991.6.002369,cocaspok1991.0038546
It's like the Garden of Eden...,0.7837525922156677,,,eden,cornellmov.6.005178,cornellmov.0029171
Oh dear god take me now!,0.7888426081067688,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01173621
"At a news conference today, Prof.",0.7918264388652035,,,prof,cocaspok1991.6.005100,cocaspok1991.0083936
"Wallack, Lester's son and James's grandson.",0.8010675511318845,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04679363
View our headlining tattoo artist Gator.,0.7915989262062046,,,gator,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04860919
"Top with mozzarella, mushrooms, and peppers.",0.8109284127326689,,,mozzarella,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03391464
Gary Tuchman live in Little Havana.,0.8021264488753053,,gary,havana,cocaspok2000.6.002330,cocaspok2000.0039917
"Man, this guy -- this guy's great.",0.7828090364609911,,,guy,cocaspok2007.6.006139,cocaspok2007.0081833
So does half of San Diego.,0.7826519659892229,,,diego,cornellmov.6.014768,cornellmov.0084079
"Juan Williams, NPR News, Jackson, Mississippi.",0.8144801754969583,,,mississippi,cocaspok2002.6.000211,cocaspok2002.0004368
Plumbing Apprenice courses start September 2019!,0.8174023651463423,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00676073
Egg coloring kids are half off!,0.7875516969989452,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00952059
"Homer Simpson is hungry, very hungry.",0.7852912021930196,,,homer,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04487527
"Is Kronos' son, inflexible his thought.",0.7953764746676226,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00300874
"Robert Boochever, Juneau, Alaska, for appellees.",0.810540509968483,,,alaska,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04540865
The Party Pineapple tank is here.,0.7823893937470553,,,pineapple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01255236
Shimmer snorted and shook her mane.,0.7834974899683838,,,mane,torontofantasy.6.007535,torontofantasy.108063
"Underground sign, Big Ben, London 2013.",0.8134698835105452,sign,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03761163
"I had no choice, Old Son.",0.781482613157785,,,son,torontomyst.6.006802,torontomyst.96652
"Andy, Catie, and Sharon waved goodbye.",0.8042748121645654,waved,sharon,goodbye,torontoadv.6.028722,torontoadv.503994
"Beautiful and cute card, fabulous colouring.",0.7817642179848954,,fabulous,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03574335
"His son Patrick, his widow Vicki.",0.8025106712735403,,,son,cocaspok2009.6.007159,cocaspok2009.0090930
You've got the wrong fucking guy.,0.7853018521825138,,,guy,cornellmov.6.027681,cornellmov.0166854
Served with Asian basil and lime.,0.8002870180409997,,,basil,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04619577
"Stefanie Ortolan, a pediatrician from France.",0.8122867867669816,,,france,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02602833
"Hi Brian, thanks for the sample.",0.7818552577671866,,,brian,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02644635
"Niol licked his lips, tasted her.",0.7834514616032273,,,lips,torontofantasy.6.442551,torontofantasy.5790335
Future law Student at Denver University.,0.7897626265582883,,university,denver,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02269788
There's nearly 2 million in London.,0.7947783689838334,,,london,cornellmov.6.011417,cornellmov.0064732
Nice bond between father and son.,0.7910727938102428,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03949599
"No, son, I didn't get fired.",0.7834586727369112,,,son,cornellmov.6.033386,cornellmov.0202997
"Cairo, Egypt, for Mel Gibson- hello.",0.8277895167768157,,gibson,cairo,cocaspok1995.6.004376,cocaspok1995.051184
Texas FHA Home Loan limits vary.,0.7896386190335081,,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03320916
Remember the coalition attack in London?,0.7853607580463132,,,london,cocaspok2006.6.002690,cocaspok2006.0046079
Boston graduated from Syracuse University's S.I.,0.8383508983645127,,,syracuse,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02191187
"Eastern time; in nearby Copiapo, pandemonium.",0.7974119132045562,,,pandemonium,cocaspok2010.6.009940,cocaspok2010.0129684
You do have a Capone robot.,0.7855463389743197,,,capone,cocaspok1993.6.009865,cocaspok1993.0138949
And my son in intensive care.,0.7827057909470846,,,son,cocaspok1994.6.003520,cocaspok1994.0047587
"Lovejoy with me, not Chili Palmer.",0.7929429773290804,,,chili,cornellmov.6.018536,cornellmov.0107737
Acute flaccid paralysis due to rabies.,0.780727590982602,,,rabies,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03510678
Cute pic with the camera too.,0.785068680999756,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03075320
Each bowl is handmade in Peru.,0.7885949171511122,,,peru,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02303898
This is from Flips in Philadelphia.,0.7989763496083683,,,philadelphia,cocaspok2000.6.005957,cocaspok2000.0097103
"Barbara meyers, Marriage, old dogs, retirement.",0.8198987403997107,,,barbara,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01525213
"Gary Strieker reports from Kotzebue, Alaska.",0.799725906368272,,gary,alaska,cocaspok2004.6.004708,cocaspok2004.0074103
"Friday, September 13th, 2013 at 4:38pm.",0.845245407119279,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03518410
The capital of Ohio is Columbus.,0.7810068899900745,,,ohio,cocaspok2000.6.001085,cocaspok2000.0020370
"Wait a sec, Nicky, Nicky, Nicky.",0.8014574230861128,,,sec,cornellmov.6.028261,cornellmov.0170627
"His grin flashed, cocksure and sexy.",0.782359922307342,,,sexy,torontofantasy.6.431771,torontofantasy.5694865
"Congressman Henry Hyde, Republican of Illinois.",0.7902283713088963,,,illinois,cocaspok2001.6.007370,cocaspok2001.0111863
Who -- that guy at the Zoo?,0.7825692958617777,,,guy,cornellmov.6.001975,cornellmov.0011172
Texas Steak Dinner on a Stick:?,0.7837251456032029,,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01206833
Your men did kill Kirk's son.,0.7965491162785131,,,son,cornellmov.6.024271,cornellmov.0144904
"John Hall - Bolingbrook H.S.; Bolingbrook, Illinois.",0.8159187641472196,,,illinois,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00218060
Titanium Metals is a titanium producer.,0.7893829898724046,,,"titanium,titanium",wsj.6.002284,wsj.415491
Free Puck Retrieved by Matt Niskanen.,0.8043018945287345,free,,matt,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03790610
Or read tweets about Santa Barbara?,0.7892526229875901,,,barbara,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04036368
We'll go to Gary in Tennessee.,0.7948908799072363,,gary,tennessee,cocaspok1993.6.009485,cocaspok1993.0132803
Vinny looked like a symphony conductor.,0.7855937941338026,,,vinny,torontomyst.6.010076,torontomyst.140486
Delicious Estonian cake full of Blueberries.,0.7944375226480457,full,,blueberries,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02912988
I'm doing this for my son.,0.7836251108284563,,,son,torontofantasy.6.004857,torontofantasy.66621
