sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
The unfortunate consequences are already apparent.,0.7258353490029444,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04854831
"""Virtually every retailer will carry them.""",0.7251314983241403,every,,,wsj.6.001541,wsj.280642
We must humble ourselves before him.,0.7280166199492061,must,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02184591
Might be he'll need it soon.,0.7366788323023892,soon,,,torontofantasy.6.467015,torontofantasy.6069694
Just wanted to offer some feedback.,0.7332754895965863,offer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00996564
Because there were four separate items.,0.7331249974396763,separate,,,cocaspok1998.6.006631,cocaspok1998.0089976
It simply doesn't get any better!!,0.7377703561873109,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00464343
Valuable for all levels of management.,0.7360739056580229,valuable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02897463
Powerful machine with variable speed control.,0.7423347853838077,powerful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00117866
Identify the problem to be addressed.,0.7221531231518455,problem,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02196710
It must be throwing his game.,0.7337631761773339,must,,,torontofantasy.6.276684,torontofantasy.3620277
There must be a peace process.,0.7364514709873128,must,,,cocaspok1997.6.009675,cocaspok1997.0118515
Cabins were very clean and comfortable.,0.721379257745523,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01044447
I was frightened to begin with.,0.7355289375935024,frightened,,,cocaspok2008.6.004160,cocaspok2008.0051999
That was almost everything I had.,0.7420980689251627,almost,,,torontofantasy.6.332029,torontofantasy.4342528
Anyone tried to implement such features?,0.7272353802104529,such,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01158589
Others can be harsh and unforgiving.,0.7299154753700114,harsh,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02117895
Then remembered he wouldn't get hurt.,0.7417060910059136,hurt,,,torontofantasy.6.407633,torontofantasy.5335173
Employers offer different types of benefits.,0.735236469417108,offer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01554849
"Two hours, perhaps three, had passed.",0.7353987703277148,perhaps,,,torontoadv.6.033633,torontoadv.576097
Smooth sailing was already paying off.,0.7421721915825067,already,,,torontofantasy.6.274092,torontofantasy.3591948
Convincing the public hasn't proven easy.,0.7203867376701634,"convincing,easy",,,cocaspok2007.6.006297,cocaspok2007.0083736
Both sides are reporting heavy losses.,0.7288315827063041,heavy,,,cocaspok2000.6.003161,cocaspok2000.0055699
So I stopped caring and relaxed.,0.7394959184819433,caring,,,cocaspok1996.6.003932,cocaspok1996.0048114
You're still always second guessing yourself.,0.7363437765705777,still,,,cocaspok1992.6.007624,cocaspok1992.0104839
His sign will be his power.,0.7385649412967998,sign,,,torontofantasy.6.084209,torontofantasy.1245276
Perhaps you are tweeting too frequently.,0.7345609462922553,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01632784
Her lack of a social life.,0.7375736209951157,life,,,torontomyst.6.087889,torontomyst.1181832
Are you afraid to be happy?,0.7256696924353417,afraid,,,torontofantasy.6.134040,torontofantasy.1835809
"Actually, I already work for you.",0.7420900775244831,already,,,cornellmov.6.027082,cornellmov.0163263
"Only the powerful, only the rulers!",0.7368597062180898,powerful,,,torontoadv.6.059896,torontoadv.994864
We'd be set up for life!,0.7323300475496068,life,,,cornellmov.6.016046,cornellmov.0091867
Only serious managers need to apply.,0.7328070964125087,serious,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01904860
Still no trace of her signal.,0.7368157829437445,still,,,torontomyst.6.128827,torontomyst.1681330
Really kind of a wasted life.,0.7406043408533477,life,,,cocaspok1999.6.002034,cocaspok1999.0027783
"I mean, give me a break.",0.7422015928422002,give,,,cocaspok1992.6.003795,cocaspok1992.0048725
Life was not easy for me.,0.7359677476795768,"life,easy",,,cocaspok2007.6.000004,cocaspok2007.0000089
Of course time is a problem.,0.7387010409863586,problem,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00009630
The photo's should be help full.,0.7399353342733778,full,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04686388
"And every cat's watching, ain't they?",0.7398270639927766,every,,,cornellmov.6.021473,cornellmov.0126408
"So, it was a good outcome?",0.732023259946378,outcome,,,cocaspok2011.6.004070,cocaspok2011.0051928
How cheerful and comforting it looked.,0.7391291356334243,comforting,,,torontofantasy.6.246684,torontofantasy.3271974
"The machine, however, was always guarded.",0.7350642578490497,guarded,,,torontofantasy.6.176645,torontofantasy.2395250
He said with a surprised expression.,0.7412782129999725,expression,,,torontoadv.6.026075,torontoadv.455568
It should be a clean sport.,0.7349131841164841,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02048790
And I must stay with him.,0.7402683301318103,must,,,torontofantasy.6.384034,torontofantasy.5026504
"The plan is brief, yet comprehensive.",0.734697969275365,brief,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04723529
I suggest to reconsider my offer.,0.7390019985536856,offer,,,cornellmov.6.034767,cornellmov.0212165
"The resistance was determined, but ineffective.",0.7296946386875441,determined,,,torontoadv.6.012279,torontoadv.209751
Letting go of a certain outcome.,0.7283472326330264,"certain,outcome",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01799308
This will become very relevant soon.,0.738179162446377,"become,soon",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00400510
Science practical components must be passed.,0.7359835680465644,must,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04751172
"I keep telling him, it's done.",0.7406058190594799,telling,,,torontofantasy.6.293987,torontofantasy.3841866
But strict harmonious symmetry of parts.,0.7400172547069667,harmonious,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02983176
Easy to utilize and cost efficient.,0.7254865116206711,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00230913
"However, they prefer they remain confidential.",0.7384858466771193,prefer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04141313
Details of Taliesin's life are sparse.,0.7354260954329535,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00902953
He must not keep him waiting.,0.7312162630092538,must,,,torontofantasy.6.085469,torontofantasy.1266336
It wasn't that he was afraid.,0.7410923963813062,afraid,,,torontofantasy.6.307329,torontofantasy.4030297
Still very vulnerable to percussion weapons.,0.7388093577120108,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04886945
We have a strong innovation pipeline.,0.7423470411869996,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03239524
Not everyone was against the creatures.,0.7381863691986066,everyone,,,torontofantasy.6.034017,torontofantasy.495173
Better than I'd ever felt before.,0.7414177374374203,better,,,torontofantasy.6.457982,torontofantasy.5950568
So give them a heads up.,0.7371892302519941,give,,,cocaspok2006.6.001088,cocaspok2006.0018161
Mountains remind me of unhappy times.,0.7399019826783614,remind,,,torontofantasy.6.006032,torontofantasy.84061
They usually have a strong accent.,0.7364017418013052,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01843639
But he was still shaking slightly.,0.73536405702434,still,,,torontomyst.6.108101,torontomyst.1425220
We're all still feeling our way.,0.733640430057918,still,,,torontomyst.6.154875,torontomyst.1992427
Plan every stop along the way.,0.7416227289284979,every,,,cornellmov.6.020848,cornellmov.0122475
Perhaps it had been too mean.,0.7406264612652036,perhaps,,,torontomyst.6.080021,torontomyst.1087360
We think that it was intentional.,0.740914939066359,intentional,,,cocaspok2010.6.011031,cocaspok2010.0142867
"Sure, hard to argue with that.",0.738539417684083,argue,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03257126
"Citizens' sons, almost all of them.",0.7417303430110529,almost,,,torontofantasy.6.148116,torontofantasy.2013953
Power wasn't easy to give up.,0.7309034299194875,"easy,give",,,torontofantasy.6.271689,torontofantasy.3567229
Drawing is extremely easy and fun!,0.7337454871930637,"extremely,easy",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04697138
Perhaps I should return to them.,0.7358982716419525,perhaps,,,torontofantasy.6.180953,torontofantasy.2460253
But it made me feel better.,0.7404115219882436,better,,,torontofantasy.6.037718,torontofantasy.560561
Will Stable Court become a reality?,0.7363032322846791,become,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02454301
Must one always be after something?,0.7240053838729917,must,,,cornellmov.6.004076,cornellmov.0022873
"The far more convenient, the better.",0.7377226138094711,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02092856
Hadn't he made that clear already?,0.741440205039468,already,,,torontofantasy.6.261105,torontofantasy.3458633
Telling me wouldn't have changed anything.,0.7342469115323678,telling,,,torontofantasy.6.333191,torontofantasy.4357516
I retort trying to sound convincing.,0.731216657457709,convincing,,,torontomyst.6.035463,torontomyst.502285
"Number one, let's focus on jobs.",0.7318245178443282,focus,,,cocaspok2008.6.008745,cocaspok2008.0107632
I'm not forcing them to leave.,0.7370671198505238,leave,,,cocaspok1994.6.000053,cocaspok1994.0000768
"He said,""Okay."" Jack's so easy going.",0.7412289400185862,easy,,,cornellmov.6.035118,cornellmov.0214261
Implement continuous and routine improvement ideas.,0.7166041751294618,routine,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04850425
"If not, then they're already empty.",0.7418305978599026,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01636827
Give me a reason not to.,0.7285574863740646,give,,,cornellmov.6.014243,cornellmov.0081017
That must make you very proud...,0.7356134452480786,must,,,cornellmov.6.024361,cornellmov.0145490
