reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,Even the gentry had magical limits.,0.757490228,,magical,,torontofantasy.6.471417,torontofantasy.6125005
,,"Plus, a different breed of cat.",0.7639039529,,cat,,cocaspok1998.6.007502,cocaspok1998.0101375
,,Put this in some political perspective.,0.7603081674,,put,,cocaspok1990.6.004418,cocaspok1990.0069363
,,The economy is in the tank.,0.7640145222,,economy,,cocaspok2008.6.001238,cocaspok2008.0016042
,,Plan your castle visiting with care.,0.7597690213,,castle,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00773130
,,I sigh and head that way.,0.7595621356,,sigh,,torontofantasy.6.477675,torontofantasy.6206486
,,"You left me to die, friend.",0.7619686667,,left,,cornellmov.6.015324,cornellmov.0087456
,,Run his hands through her hair?,0.7634847525,,hair,,torontofantasy.6.422727,torontofantasy.5574024
,,He said something about the mailbox.,0.7654565637,,mailbox,,torontoadv.6.027388,torontoadv.481901
,,That left ten more to go.,0.7637800219,,left,,torontofantasy.6.274037,torontofantasy.3591375
1,,Petersburg State University of Water Communications.,0.764986975,,university,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03073731
,,"In a makeshift church, they prayed.",0.7613969142,,church,,cocaspok1995.6.006340,cocaspok1995.079364
,,The health care summit coming up.,0.7633278918,,summit,,cocaspok2010.6.001070,cocaspok2010.0014290
,,I'll make them call me Don.,0.7573247711,,don,,cornellmov.6.024693,cornellmov.0147711
,,Most demons could manage basic glamour.,0.7616607841,,demons,,torontofantasy.6.435833,torontofantasy.5735188
,,Gary knows I'm close on Skywire.,0.7645170381,,gary,,cornellmov.6.016397,cornellmov.0093986
,,Then I got up and left.,0.7592782994,,left,,torontomyst.6.017777,torontomyst.251538
,,As continental masses of the past.,0.7582577925,,continental,,torontofantasy.6.027142,torontofantasy.397188
,,"It was better than sex, Mark.",0.7653178822,better,mark,,cocaspok1993.6.002162,cocaspok1993.0029433
,,You have no idea what happened...,0.7574040636,,idea,,cornellmov.6.010438,cornellmov.0059458
,,He pulled out the last folder.,0.7588208671,last,folder,,torontomyst.6.063649,torontomyst.884364
,,"But really, Bruce, put it away.",0.7564011136,,"bruce,put",,cocaspok2009.6.004405,cocaspok2009.0054035
,,"Jordan delayed, her heartbeat speeding up.",0.758791857,,jordan,,torontofantasy.6.061796,torontofantasy.907209
,,My husband left everything to me.,0.7593748544,,left,,cornellmov.6.015757,cornellmov.0089972
,,They're airing so much dirty laundry.,0.7635937694,,dirty,,cocaspok2011.6.003961,cocaspok2011.0050555
,,Elbows always right into the waist.,0.7644927239,,waist,,cocaspok2009.6.005099,cocaspok2009.0065431
,,Here is the third day out.,0.7606523514,,third,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00347144
,,Smart color control and modular structure.,0.7585072577,,smart,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00734430
,,My third shift CO briefed me.,0.7596453788,,third,,torontoadv.6.024626,torontoadv.433154
,,"So, they disarm our own soldier.",0.757319469,,soldier,,cocaspok2012.6.002894,cocaspok2012.035679
,,"He feels headache, nausea and vomiting.",0.7625386712,,nausea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02739120
,,"Captain Miller, I appreciate this opportunity...",0.7594545711,,miller,,cornellmov.6.001488,cornellmov.0008156
,,It's not just a tax summit.,0.7637762742,,summit,,cocaspok1990.6.005583,cocaspok1990.0096010
,,Topped with the strong fragrant tea.,0.762504236,strong,fragrant,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03930339
,,That's the mark of a man.,0.7584814791,,mark,,cornellmov.6.024924,cornellmov.0149185
,,We thought we were Mary Smith.,0.7577156271,,smith,,cocaspok2010.6.010046,cocaspok2010.0130850
,,About the mark and my problems.,0.7583245028,,mark,,torontofantasy.6.363404,torontofantasy.4755033
,,Olaf's eyes never left the screen.,0.7602012518,,left,,torontomyst.6.170958,torontomyst.2173763
,,The report includes some graphic footage.,0.7609523161,,footage,,cocaspok1994.6.007846,cocaspok1994.0107745
,,Fire demons had gathered in wait.,0.7644607286,,demons,,torontofantasy.6.233219,torontofantasy.3107447
,,You're the head of a university.,0.7634182125,,university,,cocaspok1990.6.006146,cocaspok1990.0107702
,,The voice was high and nasty.,0.7582137674,,nasty,,torontomyst.6.059198,torontomyst.817326
,"""Where are we going?"" said Victor.",Where are we going?' said Victor.,0.7604276362,,victor,,torontofantasy.6.114656,torontofantasy.1637871
,,Emma and Max were still asleep.,0.7649173343,still,max,,torontomyst.6.074426,torontomyst.1025497
,,And we wrestle to the death.,0.7575473351,,wrestle,,cocaspok2009.6.003773,cocaspok2009.0046085
,,And that's where we left it.,0.7630718794,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04383466
,,"Sharon, that sure doesn't sound fair.",0.7591222553,,sharon,,cocaspok2009.6.007062,cocaspok2009.0089756
,,Laser mark presence and quality check.,0.759183562,presence,mark,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03570926
,,Basic usage of the date class.,0.7602438603,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00371720
,,"No, it was our first date.",0.7643753893,,date,,cornellmov.6.008454,cornellmov.0048362
,,Doug and Daniel were there too.,0.7652394723,,daniel,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01097866
,,Things are all leafy and suburban...,0.7608782958,,suburban,,cornellmov.6.009736,cornellmov.0055478
,,With this band of crack troops.,0.7652655589,,troops,,torontofantasy.6.170245,torontofantasy.2305958
,,There was a third long honk.,0.7584062655,,third,,torontofantasy.6.156560,torontofantasy.2130417
,Who should I put into stars?,Who Should I Put Into Stars?,0.7616351172,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04212106
,,But those plastic ties are unbreakable.,0.7588388167,,plastic,,torontomyst.6.049313,torontomyst.691072
,,That's where you got the idea?,0.7581984897,,idea,,cornellmov.6.001820,cornellmov.0009949
,,Because Jamie can't make a commitment.,0.7592351941,,jamie,,cocaspok1997.6.008352,cocaspok1997.0097756
,,And weak force during acquisitive accuracy.,0.7605024629,,accuracy,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03720657
,,Max exhaled on a hard breath.,0.7641082443,,max,,torontomyst.6.166781,torontomyst.2134787
,,"Trying to wrestle free, I can't.",0.7580068421,free,wrestle,,torontofantasy.6.071479,torontofantasy.1056501
,,He was staring straight at me.,0.7572675627,,staring,,torontoadv.6.001148,torontoadv.20385
,,"Well, it's the crew, I think.",0.7644788956,,crew,,cocaspok2007.6.010484,cocaspok2007.0131474
,,His gray hair was cut short.,0.7634243149,,hair,,torontomyst.6.009442,torontomyst.129448
,,I sigh as I keep climbing.,0.7577218665,,sigh,,torontofantasy.6.333972,torontofantasy.4370443
,,His hands tightened on her waist.,0.7583729336,,waist,,torontofantasy.6.441079,torontofantasy.5780477
,,He's been a bit feisty today.,0.7641400516,,feisty,,torontofantasy.6.178154,torontofantasy.2424262
,,It's unclear how important this is.,0.7596669795,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01211581
,,The wind whipped through her hair.,0.7633257189,,hair,,torontomyst.6.080582,torontomyst.1093925
,,And look what we have left.,0.7609358942,,left,,cocaspok2010.6.003552,cocaspok2010.0046002
,,Randy said the killer's always superhuman.,0.7590224243,,randy,,cornellmov.6.036685,cornellmov.0224597
,,But what if they serve soup?,0.7609103958,,soup,,cornellmov.6.012309,cornellmov.0069943
,,He just separated from his third.,0.7607028632,separated,third,,cornellmov.6.020099,cornellmov.0117521
,,I'm not familiar with Rick Steve.,0.7652815576,,rick,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04769717
,,And my opinion the best idea.,0.7581649411,,idea,,torontoadv.6.013707,torontoadv.236668
,,"Okay, because I have no idea.",0.7595479276,,idea,,cocaspok2010.6.000556,cocaspok2010.0006846
,Chester Street will definitely be tricky.,Chester St will definitely be tricky.,0.7608969968,,chester,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02321762
,,And it was pins and needles.,0.7613000687,,needles,,cocaspok2002.6.003120,cocaspok2002.0051755
,,I left your note over there.,0.76006803,note,left,,cocaspok2003.6.003141,cocaspok2003.0054245
,,It placed third in the contest.,0.7596418676,,third,,torontoadv.6.006916,torontoadv.118292
,It is a really nice idea.,It? s a really nice idea.,0.7580420209,,idea,,cocaspok2006.6.001839,cocaspok2006.0032012
,,Hair extensions are available to order.,0.7580475358,,hair,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03573191
,,"Move over to the left, Chris.",0.7627605465,,left,,cocaspok1993.6.004261,cocaspok1993.0053900
,,Mayor Shanthakumari was unavailable for comment.,0.7590544611,,unavailable,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00360769
,,They are made of ABS plastic.,0.7625372878,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04929524
,,"Relax, Mulvihill, glad to see you.",0.756486583,,relax,,cornellmov.6.028712,cornellmov.0173290
,,I'm sure he left nothing out.,0.7614965489,,left,,torontomyst.6.006185,torontomyst.85308
,,Also audio has a wavy sound.,0.7625668436,,wavy,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02891946
,,You're talking about growing the economy.,0.7626978826,,economy,,cocaspok2010.6.009751,cocaspok2010.0126894
,,"Well, unless you're already a hotshot.",0.7579869535,already,hotshot,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01730983
,,But now it is the left.,0.76088715,,left,,cocaspok2003.6.002418,cocaspok2003.0043118
,,Where did you get that sweater?,0.7642562464,,sweater,,cornellmov.6.012104,cornellmov.0068794
1,,Customs and Border Protection Form B.,0.7636762421,,border,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02013197
