sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_use
Ethan was one of those lovers.,mid,0.8620689655172413,torontomyst.6.072535,mid.01708,torontomyst.1004238,1708,0.9214854
Box opened to take photos only.,mid,0.7142857142857143,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.172020,mid.01709,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04648653,1709,0.9736911
"I already have a boyfriend, Nick.",mid,0.9135802469135802,cornellmov.6.011560,mid.01710,cornellmov.0065446,1710,0.9212626
Niccolo then looked toward his troops.,mid,0.7619047619047619,torontofantasy.6.049362,mid.01711,torontofantasy.719425,1711,0.9414105
We've only got five seconds left.,mid,0.8169014084507042,cocaspok2005.6.006893,mid.01712,cocaspok2005.0106688,1712,0.91763115
How much time you got left?,mid,0.7195121951219512,cornellmov.6.011816,mid.01713,cornellmov.0066994,1713,0.92149305
Read more about their fate here.,mid,0.8113207547169812,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.098467,mid.01714,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02666087,1714,0.97121525
"Well he just left, what's wrong?",mid,0.810126582278481,cornellmov.6.011667,mid.01715,cornellmov.0066194,1715,0.8973457
"Put like that, it was mysterious.",mid,0.6792452830188679,torontomyst.6.101900,mid.01716,torontomyst.1351106,1716,0.9085266
We've got plenty of baking powder.,mid,0.8472222222222222,cornellmov.6.022770,mid.01717,cornellmov.0135105,1717,0.9206955
Put the gun to my head.,mid,0.8809523809523809,cornellmov.6.024027,mid.01718,cornellmov.0143283,1718,0.9192799
Nick glanced over to the cameras.,mid,0.7333333333333333,torontofantasy.6.230906,mid.01719,torontofantasy.3082113,1719,0.9318608
"I went left, toward the sound.",mid,0.8115942028985508,torontomyst.6.002167,mid.01720,torontomyst.32685,1720,0.91082937
I turned and looked at Martin.,mid,0.7058823529411765,torontofantasy.6.022856,mid.01721,torontofantasy.336083,1721,0.93481314
That's why it's important to have.,mid,0.7236842105263158,cocaspok2011.6.005371,mid.01722,cocaspok2011.0068375,1722,0.94390464
It wasn't my idea to go.,mid,0.6842105263157895,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.079709,mid.01723,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02126870,1723,0.93040365
He made the strangest accusation yesterday.,mid,0.7924528301886793,cocaspok2012.6.001480,mid.01724,cocaspok2012.017568,1724,0.9188048
"But for now, enjoy the footage.",mid,0.7922077922077922,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.000141,mid.01725,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00004300,1725,0.9521867
He says it's missing something important.,mid,0.6140350877192983,cocaspok2004.6.002152,mid.01726,cocaspok2004.0036000,1726,0.9158917
Today is the sixth of May.,mid,0.8205128205128205,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.050196,mid.01727,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01367544,1727,0.9584081
He looked so pale and swollen.,mid,0.8,cocaspok2009.6.002059,mid.01728,cocaspok2009.0023264,1728,0.9063287
Now here's another kind of flour.,mid,0.8571428571428571,cocaspok1998.6.002418,mid.01729,cocaspok1998.0034814,1729,0.9153547
The smile never left his face.,mid,0.8059701492537313,torontofantasy.6.364929,mid.01730,torontofantasy.4768246,1730,0.9185935
Daniel was a prophet of God.,mid,0.9154929577464788,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.075814,mid.01731,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02077823,1731,0.949395
Put it down or I'll shoot.,mid,0.7926829268292683,cornellmov.6.012032,mid.01732,cornellmov.0068392,1732,0.940162
Enjoying the sunshine below the castle.,mid,0.7375,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.066557,mid.01733,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01796764,1733,0.9608809
Put the gear in your inventory.,mid,0.8032786885245902,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.104732,mid.01734,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02830435,1734,0.9514223
"Truly, this was a magical age.",mid,0.8243243243243243,torontofantasy.6.375177,mid.01735,torontofantasy.4911515,1735,0.9240053
It turns into a hard plastic.,mid,0.9056603773584906,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.090219,mid.01736,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02442671,1736,0.9200126
"Shaw, can you identify this man?",mid,0.8135593220338984,cornellmov.6.020302,mid.01737,cornellmov.0118729,1737,0.9461149
I agree with what Mark said.,mid,0.7058823529411765,cocaspok1993.6.008531,mid.01738,cocaspok1993.0115117,1738,0.9311825
Is today sponsored by a church?,mid,0.925925925925926,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.179275,mid.01739,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04860001,1739,0.9406483
But now the forests have returned.,mid,0.7887323943661971,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.014885,mid.01740,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00403710,1740,0.95482665
I got a little dirty record.,mid,0.868421052631579,cocaspok2003.6.004456,mid.01741,cocaspok2003.0071122,1741,0.9047648
"Sure, Nick had been lovesick before.",mid,0.8709677419354839,torontofantasy.6.176075,mid.01742,torontofantasy.2385709,1742,0.9193736
They put guns in their hands.,mid,0.7976190476190477,cocaspok1990.6.000079,mid.01743,cocaspok1990.0001241,1743,0.93154347
It left no room for negotiation.,mid,0.7936507936507936,torontomyst.6.033912,mid.01744,torontomyst.480741,1744,0.93670017
I breathed out a heavy sigh.,mid,0.7333333333333333,torontofantasy.6.438102,mid.01745,torontofantasy.5751769,1745,0.8950606
Tonight was perfect night for soup.,mid,0.8392857142857143,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.006158,mid.01746,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00166171,1746,0.9191922
"Coop said, excited with the idea.",mid,0.7391304347826086,torontomyst.6.100805,mid.01747,torontomyst.1335439,1747,0.9588109
The man let out a sigh.,mid,0.7848101265822784,torontoadv.6.060376,mid.01748,torontoadv.1001049,1748,0.88880175
Our information maybe out of date.,mid,0.7792207792207793,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.016181,mid.01749,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00429407,1749,0.95943105
I've no idea what will happen.,mid,0.6481481481481481,torontofantasy.6.102137,mid.01750,torontofantasy.1476628,1750,0.9426905
Garion was startled at the idea.,mid,0.6666666666666666,torontofantasy.6.418350,mid.01751,torontofantasy.5494710,1751,0.9134097
It's not all wilderness and forests!,mid,0.84,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.108229,mid.01752,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02951751,1752,0.95738566
"Without warning, Ariana thought of Quinn.",mid,0.875,torontomyst.6.100164,mid.01753,torontomyst.1325816,1753,0.9384997
He suffered third degree leg burns.,mid,0.8153846153846154,cocaspok1990.6.000886,mid.01754,cocaspok1990.0014885,1754,0.9341307
I mean -- what would be left.,mid,0.6779661016949152,cornellmov.6.040904,mid.01755,cornellmov.0252366,1755,0.92744446
I squeezed the trigger twice more.,mid,0.8666666666666667,torontofantasy.6.007915,mid.01756,torontofantasy.113017,1756,0.9259782
We're finally getting over the hump.,mid,0.7894736842105263,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.037597,mid.01757,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01012795,1757,0.9179587
You are a happy man Oliver.,mid,0.7758620689655172,cornellmov.6.032909,mid.01758,cornellmov.0200106,1758,0.92641675
Let's start by thinking about marketing.,mid,0.725,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.088689,mid.01759,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02415146,1759,0.9529487
Important electoral states were at stake.,mid,0.8333333333333334,cocaspok1990.6.004522,mid.01760,cocaspok1990.0072118,1760,0.9639519
"Probably on their first date, right?",mid,0.75,cornellmov.6.006583,mid.01761,cornellmov.0037669,1761,0.9248601
"Too many shootings, too many killings.",mid,0.873015873015873,cocaspok1996.6.004559,mid.01762,cocaspok1996.0056462,1762,0.9432197
Were they staring at my scars?,mid,0.9230769230769232,torontoadv.6.024240,mid.01763,torontoadv.427867,1763,0.9166217
Her grip tightened on her daggers.,mid,0.8831168831168831,torontofantasy.6.263482,mid.01764,torontofantasy.3483014,1764,0.9398442
"No marketing meetings, no product seminars.",mid,0.7962962962962963,cornellmov.6.016386,mid.01765,cornellmov.0093906,1765,0.99705434
He's growing more and more paranoid.,mid,0.8928571428571429,torontofantasy.6.181090,mid.01766,torontofantasy.2461841,1766,0.91721874
You spoke to Gary Graham today.,mid,0.8266666666666667,cocaspok2000.6.005053,mid.01767,cocaspok2000.0085818,1767,0.94339424
His gaze went to my hair..,mid,0.8620689655172413,torontofantasy.6.106215,mid.01768,torontofantasy.1531508,1768,0.9047445
He began to do that yesterday.,mid,0.6538461538461539,cocaspok2003.6.004699,mid.01769,cocaspok2003.0074643,1769,0.9345897
He exhaled a cloud of smoke.,mid,0.902439024390244,torontofantasy.6.023385,mid.01770,torontofantasy.344531,1770,0.91796756
Just before we left the courthouse.,mid,0.825,cocaspok2007.6.010457,mid.01771,cocaspok2007.0131149,1771,0.93567204
They're paying a premium for liquidity.,mid,0.8909090909090909,wsj.6.001491,mid.01772,wsj.273437,1772,0.958632
"Tougher than plastic, it wears well.",mid,0.8023255813953488,brown.6.000636,mid.01773,brown.011284,1773,0.9338239
Everyone was looking for Michael Jordan.,mid,0.9444444444444444,cocaspok1995.6.001310,mid.01774,cocaspok1995.018921,1774,0.9280635
Oliver asked in a worried voice.,mid,0.7090909090909091,torontofantasy.6.336553,mid.01775,torontofantasy.4416412,1775,0.9251335
"He cursed, batting the pillow aside.",mid,0.8243243243243243,torontomyst.6.169759,mid.01776,torontomyst.2159836,1776,0.9151044
"I bid you well, Ascendiate Jordan.",mid,0.8493150684931506,torontofantasy.6.404303,mid.01777,torontofantasy.5292058,1777,0.93723744
But Jade was shaking her head.,mid,0.8133333333333334,torontofantasy.6.434906,mid.01778,torontofantasy.5728002,1778,0.92355937
Yesterday I saw people wearing shorts.,mid,0.8867924528301887,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.023207,mid.01779,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00624635,1779,0.93882394
"Don't you put her out, Paul.",mid,0.7540983606557377,cornellmov.6.032525,mid.01780,cornellmov.0197622,1780,0.9170464
Every cloud has a blue lining!,mid,0.9672131147540984,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.071371,mid.01781,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01908476,1781,0.94460213
"You may be the pro, Joe.",mid,0.7818181818181819,cornellmov.6.034116,mid.01782,cornellmov.0207912,1782,0.9312151
Come on -- I've got another idea.,mid,0.6885245901639344,cornellmov.6.015367,mid.01783,cornellmov.0087741,1783,0.9263359
"Even more, Eddie was a cop.",mid,0.8148148148148148,torontomyst.6.114902,mid.01784,torontomyst.1522187,1784,0.91986454
Adding lemon is a great idea.,mid,0.7543859649122807,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.009767,mid.01785,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00261831,1785,0.9338333
It's not simply a debt crisis.,mid,0.7777777777777778,cocaspok2012.6.005488,mid.01786,cocaspok2012.067521,1786,0.93873185
Put the pan over high heat.,mid,0.7466666666666667,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.061739,mid.01787,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01651625,1787,0.93904597
So this must be the Battalion.,mid,0.8607594936708861,torontofantasy.6.309585,mid.01788,torontofantasy.4066770,1788,0.93721074
My first time binding a pillow.,mid,0.8378378378378378,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.036452,mid.01789,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00978752,1789,0.92780066
They called here after you left...,mid,0.74,cornellmov.6.005076,mid.01790,cornellmov.0028579,1790,0.9200629
He kissed me again and left.,mid,0.8674698795180723,torontomyst.6.030838,mid.01791,torontomyst.438857,1791,0.91986245
But my patience is wearing thin.,mid,0.7894736842105263,torontofantasy.6.359785,mid.01792,torontofantasy.4718733,1792,0.91868234
The other curled around her waist.,mid,0.8313253012048193,torontofantasy.6.185435,mid.01793,torontofantasy.2513863,1793,0.9564374
Victor stops me in the hallway.,mid,0.7719298245614035,torontomyst.6.120023,mid.01794,torontomyst.1584347,1794,0.9288695
Transfer dough to the plastic wrap.,mid,0.7894736842105263,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.056846,mid.01795,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01546251,1795,0.9731312
He is talking about the economy.,mid,0.7222222222222222,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.053950,mid.01796,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01464590,1796,0.93937004
Put some booster rockets in there.,mid,0.8421052631578947,cocaspok2004.6.007767,mid.01797,cocaspok2004.0115888,1797,0.9333764
I put everything in my room.,mid,0.7719298245614035,cornellmov.6.033066,mid.01798,cornellmov.0200885,1798,0.9395458
Congratulations on history's longest winning streak.,mid,0.8378378378378378,cornellmov.6.007550,mid.01799,cornellmov.0043033,1799,0.95732254
Martin was going to marry me.,mid,0.7846153846153846,torontofantasy.6.445325,mid.01800,torontofantasy.5811903,1800,0.9034003
"You know, the economy is booming.",mid,0.8769230769230769,cocaspok2000.6.007950,mid.01801,cocaspok2000.0126043,1801,0.9318278
And I think Mark is right.,mid,0.6666666666666666,cocaspok1992.6.007378,mid.01802,cocaspok1992.0099949,1802,0.9190217
"Barnard Thomas, manager of the hotel.",mid,0.8115942028985508,cornellmov.6.012303,mid.01803,cornellmov.0069899,1803,0.9836859
I asked him at the funeral.,mid,0.8625,cornellmov.6.025729,mid.01804,cornellmov.0154180,1804,0.9228736
"He asked, recovering from his hacking.",mid,0.8333333333333334,torontomyst.6.023708,mid.01805,torontomyst.329029,1805,0.9242528
"What are you, inspecting the barracks?",mid,0.8591549295774648,cornellmov.6.024700,mid.01806,cornellmov.0147767,1806,0.9476282
Daniel was thankful for small mercies.,mid,0.7192982456140351,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.082990,mid.01807,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02246751,1807,0.93612856
This is not a tax summit.,mid,0.7692307692307693,cocaspok1990.6.004853,mid.01808,cocaspok1990.0079415,1808,0.9621787
"The idea came from you, actually.",mid,0.8392857142857143,torontofantasy.6.283458,mid.01809,torontofantasy.3690062,1809,0.9428455
His eyes never left her face.,mid,0.7903225806451613,torontomyst.6.167329,mid.01810,torontomyst.2138815,1810,0.9296534
Father left me with a dilemma.,mid,0.8493150684931506,torontomyst.6.088302,mid.01811,torontomyst.1185554,1811,0.9184603
All Russian troops must leave immediately.,mid,0.864406779661017,cocaspok2008.6.006262,mid.01812,cocaspok2008.0078049,1812,0.9561709
"Well, it ain't exactly Emerald City...",mid,0.9135802469135802,cornellmov.6.006114,mid.01813,cornellmov.0034714,1813,0.9194116
"So, what have my cameras revealed?",mid,0.8214285714285714,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.041468,mid.01814,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01106668,1814,0.9455928
So I had left too early.,mid,0.7419354838709677,torontomyst.6.042408,mid.01815,torontomyst.600908,1815,0.91861475
It was covering William's mark now.,mid,0.7397260273972602,torontofantasy.6.468971,mid.01816,torontofantasy.6091389,1816,0.9112952
That's got to smart a bit.,mid,0.7341772151898734,cornellmov.6.016833,mid.01817,cornellmov.0096962,1817,0.90190303
"He looked overdone, rather than edible.",mid,0.9285714285714286,torontomyst.6.085619,mid.01818,torontomyst.1151920,1818,0.90814894
In debt and needing a loan.,mid,0.8208955223880597,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.077318,mid.01819,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02093915,1819,0.96348363
Time to put the kebabs together.,mid,0.8888888888888888,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.058795,mid.01820,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01613211,1820,0.9356876
Why put them in this position?,mid,0.6842105263157895,cornellmov.6.029995,mid.01821,cornellmov.0181513,1821,0.9737346
Your cat feels the same way!,mid,0.8860759493670886,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.103122,mid.01822,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02781741,1822,0.9332641
Put a BOLO out on that.,mid,0.9230769230769232,cornellmov.6.005390,mid.01823,cornellmov.0030601,1823,0.9146996
Good to hear from you Toni.,mid,0.7931034482758621,torontomyst.6.036655,mid.01824,torontomyst.518929,1824,0.9318007
You're left with only military intervention.,mid,0.7419354838709677,cocaspok1994.6.001773,mid.01825,cocaspok1994.0025128,1825,0.9365015
"Train smart, ride hard, have fun!",mid,0.8181818181818182,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.175334,mid.01826,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04703082,1826,0.9472671
Her voice was sleepy and low.,mid,0.7792207792207793,torontofantasy.6.400953,mid.01827,torontofantasy.5246344,1827,0.93227786
Because you have credit card debt.,mid,0.8378378378378378,cocaspok2009.6.011125,mid.01828,cocaspok2009.0145759,1828,0.94956255
You kill with your left hand?,mid,0.8793103448275862,cornellmov.6.002310,mid.01829,cornellmov.0013057,1829,0.92834187
Probably left it in your room.,mid,0.765625,cornellmov.6.011335,mid.01830,cornellmov.0064246,1830,0.918145
There's a mailbox that's always full.,mid,0.8333333333333334,cocaspok1991.6.000244,mid.01831,cocaspok1991.0003954,1831,0.93713593
Sure there's not a drop left?,mid,0.7183098591549296,torontofantasy.6.366676,mid.01832,torontofantasy.4795674,1832,0.9253802
Someone clapped Nate on the shoulder.,mid,0.8805970149253731,torontomyst.6.126720,mid.01833,torontomyst.1657290,1833,0.9233646
My third pair of this style.,mid,0.7222222222222222,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.139145,mid.01834,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03769936,1834,0.93109167
I have a question for Quinn.,mid,0.8142857142857143,cocaspok1993.6.003195,mid.01835,cocaspok1993.0043864,1835,0.9210802
You put together the trial lawyers.,mid,0.7090909090909091,cocaspok1999.6.006355,mid.01836,cocaspok1999.0085275,1836,0.95753515
Is it all about the university?,mid,0.7205882352941176,torontoadv.6.006414,mid.01837,torontoadv.108871,1837,0.93337214
How could beneficial bacteria lower cholesterol?,mid,0.8928571428571429,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.135719,mid.01838,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03660663,1838,0.96405464
Castle covered by a force field?,mid,0.8378378378378378,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.111466,mid.01839,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02989314,1839,0.97162396
"Stacy, somebody's trying to kill me.",mid,0.8301886792452831,cornellmov.6.030376,mid.01840,cornellmov.0184013,1840,0.9106646
I put myself right by Angel.,mid,0.7931034482758621,torontomyst.6.070666,mid.01841,torontomyst.974978,1841,0.90609574
Important McQ questions for bank exam.,mid,0.8987341772151899,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.116653,mid.01842,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03155066,1842,1.0007812
Let me grab my hair tie.,mid,0.8,torontofantasy.6.356284,mid.01843,torontofantasy.4676735,1843,0.9199632
The girl pointed to the left.,mid,0.8378378378378378,torontofantasy.6.218034,mid.01844,torontofantasy.2934182,1844,0.92106193
Even my teenage boys were impressed.,mid,0.8765432098765432,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.123736,mid.01845,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03341503,1845,0.9178927
Did you read the papers yesterday?,mid,0.8,cornellmov.6.014843,mid.01846,cornellmov.0084606,1846,0.9475184
The clock has started to tick.,mid,0.717948717948718,cocaspok1990.6.001191,mid.01847,cocaspok1990.0019587,1847,0.933141
The left will follow at once.,mid,0.6792452830188679,brown.6.000673,mid.01848,brown.011985,1848,0.9300589
I shouldn't have left him alone.,mid,0.7875,cornellmov.6.016147,mid.01849,cornellmov.0092487,1849,0.8989009
You never eat when you're despondent.,mid,0.8461538461538461,cornellmov.6.011712,mid.01850,cornellmov.0066430,1850,0.92625093
Running to the helm Sander smiles.,mid,0.7922077922077922,torontofantasy.6.006889,mid.01851,torontofantasy.94740,1851,0.93770653
"Instead, Bride used it for storage.",mid,0.875,torontofantasy.6.216602,mid.01852,torontofantasy.2918737,1852,0.9683597
It's good to be a cat.,mid,0.8571428571428571,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.118444,mid.01853,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03184061,1853,0.90720016
"Big labor, small labor, me personally.",mid,0.8714285714285714,cocaspok1996.6.002891,mid.01854,cocaspok1996.0036782,1854,0.9669071
Her father loading up the shotgun?,mid,0.8831168831168831,cornellmov.6.004588,mid.01855,cornellmov.0025891,1855,0.9264352
Do you need a cleanup crew?,mid,0.7833333333333333,torontofantasy.6.373922,mid.01856,torontofantasy.4892400,1856,0.9264067
Which kernel version are you using?,mid,0.82,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.021434,mid.01857,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00567823,1857,0.9824541
"We have got to go, Mark.",mid,0.7454545454545455,cocaspok2010.6.002016,mid.01858,cocaspok2010.0025587,1858,0.92569405
Hormonal problems might trigger hair loss.,mid,0.9104477611940298,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.050518,mid.01859,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01363593,1859,0.9662349
"Sharon Stone, good to see you.",mid,0.9102564102564102,cocaspok1998.6.008984,mid.01860,cocaspok1998.0118183,1860,0.9354832
I trained people with plastic explosives.,mid,0.9622641509433962,cocaspok1996.6.005310,mid.01861,cocaspok1996.0066841,1861,0.94906604
The cookie jar on the counter!,mid,0.7619047619047619,torontofantasy.6.282206,mid.01862,torontofantasy.3677475,1862,0.9411727
"You know, it's a dirty business.",mid,0.7916666666666666,cocaspok2007.6.008428,mid.01863,cocaspok2007.0107152,1863,0.9161026
"The perfect date, they called it.",mid,0.8,cocaspok1997.6.001825,mid.01864,cocaspok1997.0021197,1864,0.9331216
Hit those assholes on the left!,mid,0.8902439024390244,torontoadv.6.012320,mid.01865,torontoadv.210537,1865,0.9125452
Usually I'm the biggest coward around.,mid,0.9230769230769232,torontofantasy.6.280756,mid.01866,torontofantasy.3662102,1866,0.92368954
The lost squadron is still lost.,mid,0.8214285714285714,cocaspok1991.6.001441,mid.01867,cocaspok1991.0025098,1867,0.9308141
Hit a streak when we left.,mid,0.7236842105263158,cornellmov.6.039602,mid.01868,cornellmov.0243605,1868,0.92778236
Maybe this was a lame idea.,mid,0.75,torontomyst.6.122448,mid.01869,torontomyst.1610802,1869,0.92302907
These emotions were like living photos.,mid,0.7848101265822784,torontoadv.6.039979,mid.01870,torontoadv.683824,1870,0.9502882
So what are some top flavors?,mid,0.7962962962962963,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.020938,mid.01871,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00564893,1871,0.9342559
Her mother put down her book.,mid,0.8028169014084507,torontofantasy.6.072819,mid.01872,torontofantasy.1076462,1872,0.93893373
I just couldn't put into words.,mid,0.6842105263157895,torontofantasy.6.338112,mid.01873,torontofantasy.4442517,1873,0.9344643
You want it fluffy and pale.,mid,0.8169014084507042,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.068709,mid.01874,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01856011,1874,0.926187
"If necessary, add in additional flour.",mid,0.9206349206349206,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.011335,mid.01875,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00306919,1875,0.98891157
You have a huge veterans population.,mid,0.868421052631579,cocaspok2003.6.002987,mid.01876,cocaspok2003.0051775,1876,0.95261604
Right in the nick of time!,mid,0.8048780487804879,cornellmov.6.035997,mid.01877,cornellmov.0219848,1877,0.9204698
Then he squeezed his eyes shut.,mid,0.8360655737704918,torontofantasy.6.450537,mid.01878,torontofantasy.5849422,1878,0.92076695
What'd you put in my wheel!,mid,0.734375,torontofantasy.6.439493,mid.01879,torontofantasy.5768291,1879,0.9435568
Max spoke quietly from the darkness.,mid,0.7321428571428571,torontofantasy.6.105877,mid.01880,torontofantasy.1525908,1880,0.9349461
"He was far, far in debt.",mid,0.8311688311688312,cocaspok2006.6.004668,mid.01881,cocaspok2006.0074903,1881,0.91303366
"Quit screwing around, this is important.",mid,0.8035714285714286,cornellmov.6.002623,mid.01882,cornellmov.0014763,1882,0.92005944
Her emerald eyes were slightly dulled.,mid,0.8472222222222222,torontofantasy.6.278327,mid.01883,torontofantasy.3637984,1883,0.91606796
Blake let out a grating sigh.,mid,0.8169014084507042,torontoadv.6.021831,mid.01884,torontoadv.387750,1884,0.8980958
Your photos are making me hungry.,mid,0.9056603773584906,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.063169,mid.01885,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01690511,1885,0.9378645
Soon he'll be a plastic cube.,mid,0.9016393442622952,cornellmov.6.014543,mid.01886,cornellmov.0082772,1886,0.9194414
Ramsay gave Reek a suspicious glance.,mid,0.7068965517241379,torontofantasy.6.467228,mid.01887,torontofantasy.6072355,1887,0.9210339
He put his room in order.,mid,0.7333333333333333,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.133678,mid.01888,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03606919,1888,0.9314901
I felt like a Doubting Thomas.,mid,0.8888888888888888,torontoadv.6.005633,mid.01889,torontoadv.96609,1889,0.9021936
Staring at me with Madeline's eyes.,mid,0.8490566037735849,torontofantasy.6.372145,mid.01890,torontofantasy.4869520,1890,0.927464
